trade_id,violation_type,decision,reason
BATUSDT_00000011,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000012,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000013,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000020,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000023,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000035,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000043,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000100,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000106,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000108,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000109,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000174,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000188,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000194,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000206,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000228,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000249,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000303,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000343,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000359,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000384,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000386,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000395,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000422,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000426,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000448,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000450,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000471,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000473,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000478,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000479,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000486,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000493,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000520,pump_and_dump,kept,pass2_detector_match
BATUSDT_00000525,pump_and_dump,kept,pass2_detector_match
BTCUSDT_00001398,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00001534,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00002038,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00002264,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00002431,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00002782,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00002902,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00002949,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00003449,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00004616,round_trip_wash,kept,pass2_detector_match
BTCUSDT_00005001,spoofing,kept,pass2_detector_match
BTCUSDT_00005002,spoofing,kept,pass2_detector_match
